"order_id","full_name","order_date","order_status"
1,"Adaeze Okafor","2025-03-02","Delivered"
2,"Bolaji Adewale","2025-03-15","Delivered"
3,"Chinedu Eze","2025-04-01","Cancelled"
4,"Adaeze Okafor","2025-04-18","Delivered"
5,"Damilola Ogunleye","2025-05-05","Delivered"
6,"Fatima Bello","2025-05-22","Shipped"
7,"Bolaji Adewale","2025-06-10","Delivered"
8,"Hauwa Abubakar","2025-06-28","Delivered"
9,"Ifeoma Nwosu","2025-07-14","Delivered"
10,"Efe Oghenekaro","2025-07-30","Cancelled"
11,"Jide Balogun","2025-08-12","Delivered"
12,"Adaeze Okafor","2025-08-25","Shipped"
13,"Kemi Adeyemi","2025-09-06","Delivered"
14,"Maryam Sani","2025-09-20","Delivered"
15,"Bolaji Adewale","2025-10-04","Delivered"
16,"Nkechi Obi","2025-10-18","Pending"
17,"Hauwa Abubakar","2025-11-01","Delivered"
18,"Fatima Bello","2025-11-15","Delivered"
19,"Ifeoma Nwosu","2025-11-29","Shipped"
20,"Jide Balogun","2025-12-10","Delivered"
21,"Damilola Ogunleye","2025-12-22","Delivered"
22,"Adaeze Okafor","2026-01-08","Delivered"
23,"Maryam Sani","2026-01-19","Pending"
24,"Bolaji Adewale","2026-02-02","Delivered"
25,"Kemi Adeyemi","2026-02-14","Delivered"
